iter	RMSE
0	7.564504662
1	6.902340526
2	6.457752445
3	6.011886401
4	5.53848463
5	4.917647597
6	4.458174155
7	4.16160142
8	3.880249692
9	3.633551089
10	3.388521599
11	3.176436538
12	2.977909254
13	2.791192569
14	2.616743034
15	2.452850838
16	2.299547661
17	2.155825932
18	2.021086811
19	1.894768886
20	1.77634583
21	1.665324216
22	1.561241452
23	1.463663862
24	1.37218487
25	1.286423316
26	1.206021859
27	1.130645493
28	1.059980149
29	0.9937313899
30	0.9316231781
31	0.8733967294
32	0.8188094338
33	0.7676338442
34	0.719656729
35	0.6746781834
36	0.6325107969
37	0.5929788721
38	0.5559176926
39	0.5211728368
40	0.4885995345
41	0.4580620636
42	0.4294331846
43	0.4025936106
44	0.3774315099
45	0.3538420406
46	0.331726913
47	0.310993981
48	0.2915568572
49	0.2733345536
50	0.256251144
51	0.2402354475
52	0.225220732
53	0.2111444363
54	0.197947909
55	0.1855761647
56	0.1739776544
57	0.163104051
58	0.1529100478
59	0.1433531698
60	0.1343935967
61	0.1259939969
62	0.1181193721
63	0.1107369113
64	0.1038158544
65	0.09732736349
66	0.09124440327
67	0.08554162807
68	0.08019527631
69	0.07518307154
70	0.07048412957
71	0.06607887147
72	0.06194894201
73	0.05807713313
74	0.05444731231
75	0.05104435529
76	0.04785408309
77	0.04486320289
78	0.04205925271
79	0.03943054942
80	0.03696614008
81	0.03465575632
82	0.03248977155
83	0.03045916083
84	0.02855546328
85	0.02677074682
86	0.02509757515
87	0.0235289767
88	0.02205841566
89	0.02067976468
90	0.01938727939
91	0.01817557442
92	0.01703960102
93	0.01597462596
94	0.01497621184
95	0.0140401986
96	0.01316268618
97	0.0123400183
98	0.01156876715
99	0.01084571921
100	0.01016786176
101	0.009532370397
102	0.008936597247
103	0.008378059919
104	0.007854431174
105	0.007363529226
106	0.006903308649
107	0.006471851859
108	0.006067361118
109	0.005688151048
110	0.005332641607
111	0.004999351507
112	0.004686892038
113	0.004393961285
114	0.004119338705
115	0.003861880036
116	0.003620512534
117	0.0033942305
118	0.003182091094
119	0.002983210401
120	0.002796759751
121	0.002621962266
122	0.002458089625
123	0.002304459023
124	0.002160430334
125	0.002025403438
126	0.001898815723
127	0.001780139741
128	0.001668881007
129	0.001564575944
130	0.001466789947
131	0.001375115576
132	0.001289170852
133	0.001208597674
134	0.001133060319
135	0.001062244049
136	0.0009958537963
137	0.000933612934
138	0.0008752621256
139	0.0008205582428
140	0.0007692733526
141	0.0007211937681
142	0.0006761191576
143	0.0006338617102
144	0.0005942453533
145	0.0005571050188
146	0.0005222859551
147	0.0004896430829
148	0.0004590403902
149	0.0004303503658
150	0.000403453468
151	0.0003782376262
152	0.0003545977746
153	0.0003324354137
154	0.0003116582003
155	0.0002921795628
156	0.0002739183401
157	0.0002567984439
158	0.0002407485411
159	0.0002257017573
160	0.0002115953975
161	0.0001983706851
162	0.0001859725173
163	0.000174349235
164	0.0001634524078
165	0.0001532366323
166	0.0001436593428
167	0.0001346806339
168	0.0001262630942
169	0.0001183716509
170	0.0001109734227
171	0.0001040375838
172	9.753523477e-05
173	9.14392826e-05
174	8.572432744e-05
175	8.036655697e-05
176	7.534364716e-05
177	7.063466921e-05
178	6.622000239e-05
179	6.208125224e-05
180	5.820117397e-05
181	5.45636006e-05
182	5.115337556e-05
183	4.795628959e-05
184	4.495902149e-05
185	4.214908265e-05
186	3.951476498e-05
187	3.704509217e-05
188	3.472977391e-05
189	3.255916304e-05
190	3.052421535e-05
191	2.861645189e-05
192	2.682792365e-05
193	2.515117842e-05
194	2.357922977e-05
195	2.210552791e-05
196	2.072393241e-05
197	1.942868664e-05
198	1.821439372e-05
199	1.707599411e-05
